Gender,Provinsi,Kab/Kota,Bidang,Jenjang Lomba,Jenjang Sekolah,Kelas,Medali,Tahun,Kelas_Outlier,Cluster
0,11,468,1,0,0,11.0,2,2016,False,0
0,0,388,2,0,0,11.0,2,2021,False,0
0,0,388,2,0,0,11.0,0,2022,False,0
0,0,388,3,0,0,11.0,2,2022,False,0
0,0,388,9,0,0,11.0,2,2022,False,0
1,0,388,0,0,0,11.0,2,2023,False,0
0,11,468,4,0,0,11.0,2,2016,False,0
1,0,388,8,0,0,10.0,2,2023,False,0
1,0,388,8,0,0,11.0,2,2024,False,0
1,0,388,8,0,0,11.0,2,2024,False,0
0,32,430,10,0,0,11.0,2,2018,False,1
1,0,465,3,0,0,11.0,2,2024,False,0
0,0,12,4,0,0,11.0,2,2021,False,0
1,0,282,10,1,1,11.0,2,2022,False,0
0,25,221,9,0,0,11.0,2,2020,False,1
0,1,126,1,0,0,10.0,2,2021,False,0
0,1,126,4,0,0,11.0,2,2021,False,0
0,1,126,7,0,0,11.0,2,2020,False,0
0,1,126,1,0,0,11.0,4,2022,False,0
0,1,126,2,0,0,11.0,2,2017,False,0
0,11,431,2,0,0,11.0,4,2022,False,0
0,1,126,10,0,0,11.0,4,2009,False,0
0,1,126,9,0,0,11.0,2,2014,False,0
0,1,126,7,0,0,11.0,2,2020,False,0
1,11,129,4,0,0,11.0,2,2022,False,0
1,1,135,1,0,0,10.0,2,2020,False,0
0,1,135,4,0,0,11.0,2,2022,False,0
1,1,76,6,1,1,11.0,2,2023,False,0
1,1,76,5,1,1,11.0,2,2020,False,0
1,1,76,5,1,1,11.0,1,2021,False,0
1,1,76,5,1,1,11.0,2,2023,False,0
1,1,76,5,1,1,11.0,2,2023,False,0
1,1,126,5,1,1,7.0,2,2020,False,0
0,1,126,5,1,1,8.0,2,2019,False,0
1,1,126,5,1,1,11.0,2,2022,False,0
0,1,409,10,0,0,11.0,2,2018,False,0
0,1,409,7,0,0,10.0,2,2022,False,0
0,1,409,7,0,0,11.0,2,2023,False,0
0,1,18,0,0,0,10.0,2,2021,False,0
0,1,18,3,0,0,10.0,4,2021,False,0
0,1,18,9,0,0,11.0,4,2021,False,0
0,1,18,3,0,0,11.0,3,2022,False,0
1,2,47,0,0,0,10.0,2,2015,False,0
0,2,28,3,0,0,10.0,2,2024,False,0
0,10,75,3,0,0,11.0,2,2021,False,0
1,2,28,8,0,0,11.0,2,2024,False,0
0,2,28,9,0,0,11.0,2,2017,False,0
1,2,28,0,0,0,11.0,2,2023,False,0
1,2,28,9,0,0,11.0,2,2020,False,0
1,2,28,2,0,0,11.0,2,2024,False,0
1,2,28,5,1,1,11.0,2,2017,False,0
0,3,460,4,0,0,11.0,2,2024,False,0
1,3,460,4,0,0,11.0,2,2021,False,0
0,3,460,8,0,0,11.0,2,2021,False,0
0,3,460,3,0,0,11.0,2,2020,False,0
0,3,471,0,0,0,11.0,3,2021,False,0
1,3,471,0,0,0,11.0,4,2021,False,0
0,11,125,4,0,0,11.0,2,2020,False,0
0,3,471,1,0,0,10.0,4,2021,False,0
0,3,471,4,0,0,11.0,2,2021,False,0
0,3,471,8,0,0,11.0,4,2021,False,0
0,3,471,8,0,0,11.0,3,2021,False,0
1,3,471,9,0,0,11.0,3,2021,False,0
0,3,471,9,0,0,10.0,4,2021,False,0
0,3,471,10,0,0,11.0,2,2021,False,0
0,3,471,9,0,0,11.0,0,2019,False,0
0,3,471,10,0,0,11.0,2,2012,False,0
0,3,471,2,0,0,11.0,3,2010,False,0
0,3,471,8,0,0,11.0,0,2019,False,0
0,3,471,8,0,0,10.0,3,2018,False,0
0,3,471,2,0,0,10.0,3,2009,False,0
1,3,471,1,0,0,11.0,4,2017,False,0
0,3,471,0,0,0,11.0,3,2009,False,0
0,11,125,4,0,0,10.0,2,2019,False,0
0,3,471,10,0,0,10.0,4,2020,False,0
1,3,471,3,0,0,11.0,2,2020,False,0
0,3,471,9,0,0,11.0,2,2020,False,0
0,3,471,7,0,0,11.0,2,2020,False,0
0,3,471,0,0,0,11.0,3,2020,False,0
0,3,471,0,0,0,10.0,2,2020,False,0
0,3,471,8,0,0,11.0,2,2020,False,0
0,3,471,9,0,0,11.0,3,2020,False,0
0,3,471,4,0,0,11.0,4,2015,False,0
0,3,471,9,0,0,11.0,0,2017,False,0
1,3,471,10,0,0,11.0,2,2019,False,0
0,3,471,3,0,0,11.0,4,2019,False,0
1,6,416,1,0,0,11.0,2,2022,False,0
0,3,471,9,0,0,11.0,3,2019,False,0
0,3,471,1,0,0,10.0,0,2019,False,0
0,3,471,1,0,0,11.0,3,2019,False,0
1,3,471,0,0,0,11.0,2,2019,False,0
0,3,471,8,0,0,11.0,2,2019,False,0
0,3,471,4,0,0,11.0,4,2019,False,0
1,3,471,10,0,0,10.0,2,2018,False,0
0,3,471,2,0,0,11.0,4,2016,False,0
0,19,1,10,0,0,11.0,2,2023,False,0
0,3,471,3,0,0,10.0,3,2018,False,0
0,3,471,3,0,0,11.0,4,2018,False,0
1,3,471,7,0,0,10.0,4,2018,False,0
1,2,28,10,1,1,11.0,2,2022,False,0
0,3,471,7,0,0,11.0,3,2018,False,0
0,3,471,9,0,0,10.0,4,2016,False,0
0,3,471,1,0,0,11.0,2,2018,False,0
0,3,471,0,0,0,10.0,0,2018,False,0
0,3,471,0,0,0,11.0,3,2018,False,0
0,3,471,2,0,0,11.0,3,2018,False,0
0,3,471,4,0,0,11.0,2,2018,False,0
0,3,471,4,0,0,11.0,2,2018,False,0
0,3,471,3,0,0,11.0,3,2017,False,0
0,3,471,9,0,0,11.0,3,2017,False,0
0,3,471,1,0,0,11.0,4,2017,False,0
0,4,398,1,0,0,11.0,2,2011,False,0
1,4,398,1,0,0,10.0,2,2022,False,0
1,4,398,7,0,0,10.0,2,2024,False,0
1,4,53,3,0,0,11.0,2,2021,False,0
1,4,53,3,0,0,10.0,2,2020,False,0
0,4,53,9,0,0,11.0,2,2019,False,0
1,4,53,2,0,0,11.0,2,2019,False,0
1,4,53,4,0,0,11.0,2,2019,False,0
1,4,53,2,0,0,10.0,2,2018,False,0
1,29,228,2,0,0,11.0,2,2024,False,1
1,4,53,0,0,0,11.0,2,2022,False,0
0,5,34,2,0,0,10.0,2,2022,False,0
0,5,34,2,0,0,11.0,4,2023,False,0
0,36,437,9,0,0,11.0,2,2021,False,1
1,5,482,1,0,0,10.0,2,2021,False,0
1,5,482,1,0,0,11.0,3,2022,False,0
0,5,482,3,0,0,11.0,0,2017,False,0
0,5,482,7,0,0,11.0,2,2016,False,0
0,36,437,4,0,0,11.0,2,2020,False,1
0,5,482,4,0,0,10.0,2,2021,False,0
0,5,482,2,0,0,11.0,3,2016,False,0
0,36,437,9,0,0,11.0,2,2019,False,1
1,5,482,4,0,0,10.0,2,2013,False,0
0,5,482,9,0,0,11.0,2,2012,False,0
0,11,421,8,0,0,11.0,2,2022,False,0
0,5,482,1,0,0,11.0,2,2022,False,0
0,5,482,4,0,0,11.0,4,2022,False,0
1,11,209,4,0,0,11.0,2,2021,False,0
0,5,482,2,0,0,11.0,2,2023,False,0
0,5,482,4,0,0,11.0,2,2023,False,0
0,5,482,9,0,0,10.0,2,2023,False,0
0,5,482,9,0,0,11.0,4,2024,False,0
0,5,327,10,0,0,11.0,4,2020,False,0
1,18,389,9,0,0,11.0,2,2023,False,0
0,5,327,10,0,0,10.0,2,2019,False,0
1,5,34,4,0,0,11.0,2,2019,False,0
0,5,327,3,0,0,11.0,2,2014,False,0
0,5,34,5,1,1,11.0,4,2020,False,0
0,11,209,3,0,0,11.0,2,2020,False,0
1,5,34,6,1,1,11.0,2,2020,False,0
0,5,327,10,1,1,7.0,3,2024,False,0
1,5,34,6,1,1,11.0,2,2018,False,0
0,5,482,5,1,1,11.0,2,2018,False,0
0,5,482,5,1,1,8.0,3,2024,False,0
0,5,327,10,1,1,7.0,2,2020,False,0
0,5,327,10,1,1,8.0,3,2021,False,0
1,5,327,10,1,1,11.0,2,2021,False,0
0,5,327,7,0,0,11.0,2,2021,False,0
0,5,482,3,0,0,11.0,2,2009,False,0
0,5,482,3,0,0,11.0,2,2009,False,0
0,5,34,1,0,0,10.0,2,2021,False,0
1,5,34,1,0,0,11.0,4,2021,False,0
0,5,34,3,0,0,11.0,3,2021,False,0
0,5,34,4,0,0,11.0,3,2021,False,0
0,5,34,7,0,0,11.0,4,2021,False,0
1,5,34,8,0,0,11.0,2,2021,False,0
1,5,34,9,0,0,11.0,3,2021,False,0
0,36,437,3,0,0,11.0,2,2010,False,1
0,6,416,10,0,0,10.0,2,2022,False,0
0,6,416,2,0,0,11.0,4,2010,False,0
1,6,416,2,0,0,11.0,2,2009,False,0
0,6,416,8,0,0,11.0,2,2020,False,0
0,6,416,4,0,0,11.0,2,2020,False,0
1,6,416,4,0,0,11.0,3,2016,False,0
0,6,416,8,0,0,10.0,3,2022,False,0
1,6,416,4,0,0,11.0,2,2023,False,0
0,6,416,8,0,0,11.0,3,2023,False,0
0,6,416,3,0,0,11.0,2,2024,False,0
0,6,416,1,0,0,11.0,2,2024,False,0
1,10,272,9,0,0,10.0,2,2022,False,0
0,30,451,10,0,0,11.0,0,2019,False,1
1,6,417,8,0,0,11.0,2,2011,False,0
0,6,416,3,0,0,11.0,3,2010,False,0
0,6,417,2,0,0,11.0,2,2012,False,0
1,6,416,10,0,1,9.0,2,2020,False,0
1,6,416,10,1,1,7.0,2,2018,False,0
0,6,416,10,1,1,7.0,2,2020,False,0
0,6,416,10,1,1,8.0,0,2021,False,0
0,6,416,10,1,1,11.0,1,2021,False,0
0,6,416,5,1,1,8.0,2,2019,False,0
1,6,416,10,1,1,11.0,2,2018,False,0
0,6,416,5,1,1,11.0,2,2022,False,0
0,6,416,10,1,1,7.0,0,2020,False,0
1,12,453,0,0,0,11.0,2,2022,False,0
0,6,417,10,1,1,8.0,3,2024,False,0
1,6,417,10,0,0,10.0,2,2021,False,0
0,6,417,9,0,0,11.0,2,2022,False,0
1,6,417,10,0,0,11.0,2,2022,False,0
0,6,417,7,0,0,11.0,4,2024,False,0
0,6,416,9,0,0,11.0,1,2021,False,0
0,6,416,4,0,0,11.0,3,2023,False,0
0,6,418,7,0,0,11.0,2,2024,False,0
0,6,414,7,0,0,11.0,3,2017,False,0
0,6,414,7,0,0,10.0,2,2015,False,0
0,6,414,7,0,0,11.0,3,2013,False,0
0,6,418,9,0,0,11.0,2,2023,False,0
0,6,418,1,0,0,11.0,2,2024,False,0
0,6,418,10,0,0,11.0,2,2024,False,0
0,6,417,2,0,0,11.0,4,2022,False,0
0,6,414,9,0,0,10.0,1,2020,False,0
0,6,414,3,0,0,11.0,2,2021,False,0
0,6,414,3,0,0,10.0,3,2020,False,0
1,6,414,9,0,0,11.0,2,2023,False,0
0,6,414,4,0,0,11.0,3,2024,False,0
0,6,414,7,0,0,10.0,4,2024,False,0
0,6,418,7,0,0,11.0,2,2016,False,0
0,6,414,3,0,0,11.0,4,2012,False,0
0,6,414,7,0,0,11.0,2,2009,False,0
1,6,417,8,0,0,11.0,2,2024,False,0
0,6,418,8,0,0,11.0,2,2013,False,0
0,6,417,7,0,0,11.0,4,2012,False,0
0,6,417,8,0,0,11.0,2,2013,False,0
1,6,417,9,0,0,11.0,4,2015,False,0
0,6,417,3,0,0,11.0,2,2013,False,0
1,6,417,4,0,0,10.0,3,2013,False,0
0,6,418,10,0,0,10.0,2,2010,False,0
1,6,415,8,0,0,10.0,2,2010,False,0
1,6,416,1,0,0,11.0,2,2021,False,0
0,6,416,0,0,0,11.0,2,2020,False,0
1,6,416,2,0,0,11.0,2,2020,False,0
1,6,416,2,0,0,10.0,2,2019,False,0
0,6,416,1,0,0,11.0,4,2020,False,0
0,6,416,2,0,0,11.0,2,2013,False,0
1,6,416,2,0,0,11.0,3,2017,False,0
0,1,18,3,0,0,11.0,2,2022,False,0
0,6,416,2,0,0,11.0,0,2017,False,0
1,6,416,2,0,0,11.0,4,2016,False,0
0,6,416,2,0,0,11.0,2,2016,False,0
0,6,416,2,0,0,11.0,3,2015,False,0
0,6,416,10,0,0,10.0,3,2014,False,0
1,6,416,2,0,0,11.0,3,2014,False,0
0,36,437,3,0,0,11.0,2,2023,False,1
0,6,416,7,0,0,11.0,2,2012,False,0
0,7,412,4,0,0,11.0,2,2022,False,0
0,7,72,0,0,0,11.0,2,2021,False,0
0,7,72,0,0,0,11.0,3,2021,False,0
1,7,72,1,0,0,11.0,2,2021,False,0
0,7,72,3,0,0,11.0,2,2021,False,0
